分类,状态量,状态描述,诊断分析,检修决策,报告名称
输电线路,nan,故障,[],"('需停电处理', 'B类修检', [])",14-浙江-红外测温发现±500kV林枫线1950号杆塔I极小号侧耐张线夹过热缺陷
输电线路,导地线,导地线故障,['因局部阵风将地膜卷至导地线上'],"('不需停电处理', 'D类修检', ['向大棚户主普及护线常识。加强春季线路巡视力度'])",14-聊城-220kV聊桥Ⅰ线事故分析报告-外力破坏-异物短路-20150320
输电线路,绝缘子,绝缘子故障,"['发现#30杆下相绝缘子下均压环有鸟粪及放电痕迹', '珠湾线#30杆下相绝缘子下均压环有鸟粪及放电痕迹', '确认事故原因为杆塔上鸟类在绝缘子上方排便']","('需停电处理', 'C类修检', [])",14-青岛-220kV珠湾线3月15日鸟害故障分析报告-重合成功-异物短路-20160315
输电线路,引流板,引流板故障,"['发现110kV闻兴1178线2#塔C相大号侧的引流板处发热严重', '此时该引流板的温度为46.3℃']","('需停电处理', 'C类修检', ['随即安排检修人员进行了紧急消缺处理', '红外热像检测是输电线路运行维护中重要的检测手段之一'])",15-浙江-红外测温发现110kV输电线路耐张线夹发热
输电线路,nan,故障,"['220kV吴磨变电站测距为24.4公里', '辛店电厂测距为5.6公里16时57分经巡视发现220kV辛吴线#33-#34右相档内导线断10股', '，地面上有放电痕迹', '，现场作业人员已逃逸。220kV辛吴线2013年11月14日投运', '220kV辛吴线2013年11月14日投运', '导线为2*LGJ-400/35', '，220kV辛吴线#33、#34杆型为2B3-ZM2-24', '220kV辛吴线#33、#34杆型为2B3-ZM2-24', '，导线水平排列', '']","('需停电处理', 'B类修检', ['决定日后带电作业处理1、专责人工作责任心不强', '对已知并长期存在的固定施工场所', '没有采取""重点区域重点巡视与线下施工时时盯防""的巡视手段2、对线路护区内已知并长期存在的固定施工场所监管和预控不到位造成本次事故的市政工程春节期间和节后已经间断施工一个多月', '召集全体施工人员进行电力设施保护和安全警示教育1、对于线路护区内的固定施工场所', '工作人员施工过程执行全程监控3、积极采取事前干预的手段', '安装100套以上护区影像监拍装置'])",15-淄博-220kV辛吴线故障分析报告-重合不成-外力破坏-吊车碰线-20150322
输电线路,杆塔,电气故障,"['表2根据故障测距数据', '潍坊公司制定了以220kV宝王线36杆塔为中心', '巡检人员判断#37-#40号杆塔发生故障的几率较高', '设计覆冰厚度、设计风速分别为10mm、15m/s故障区段始于34#杆塔', '止于35#杆塔故障区段主要地形为平地', '巡检人员于34#-35#杆塔档内A相发现故障点03月16日14时00分']","('需停电处理', 'B类修检', ['潍坊公司在故障区段内组织开展了大棚膜治理、吊车排查等多项防外力破坏工作', '大棚膜治理、特种车辆排查。线路防护宣传工作有待进一步加强1、加大线路通道隐患排查力度。加大对线路通道附近的大棚、广告牌、易漂浮物堆放点等隐患的巡视密度'])",15-潍坊-220kV宝王线3月16日故障分析报告-重合成功-外力破坏-异物短路-20160316
输电线路,nan,故障,"['20#杆塔耐张线夹在进行红外成像检测时', '发现A相大号侧线夹连接器处温度异常', '，选择成像的角度、色度', '选择成像的角度、色度', '，所示', '，并将此情况立即上报技术组对图谱进行仔细分析', '并将此情况立即上报技术组对图谱进行仔细分析', '发现A相大号侧耐张线夹连接点处温度异常', '连接点温度25.5℃', '，环境温度为8℃', '，根据《DL/T644-2008带电设备红外诊断技术应用导则》中的公式计算', '根据《DL/T644-2008带电设备红外诊断技术应用导则》中的公式计算', '推算出相对温差为86.857％判断热像特征是以线夹和接头为中心的热像', '热点明显；故障特征为接触不良；缺陷性质为严重缺陷测试距离', '国网嘉兴供电公司220kV店新4463线', '220千伏店新4463线起于500千伏王店变电所迄于220千伏跃新变电所', '线路全长25.563千米', '其中单回路14.601千米、双回路长度10.962千米；杆塔总基数为81基', '，耐张铁塔24基', '']","('需停电处理', 'B类修检', ['大量事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量线路应结合新设备验收与C级检修', '应加强红外热成像检测技术的应用', '并及时进行处理'])",16-浙江-红外测温发现220kV店新4463线20#A相大号侧耐张线夹严重发热
输电线路,杆塔,杆塔故障,"['在该线路#15杆塔处', '在该线路#23杆塔处故障区段位于果园附近', '杆塔周边存在废弃的反光膜等漂浮物', '巡视人员在#20杆塔左相导线悬垂绝缘子碗头挂板及受电侧防震锤处发现反光膜']","('需停电处理', 'B类修检', ['公司加强了对果树反光膜的回收治理工作', '但对线路防护区内易造成线路故障的驱鸟带、反光膜、塑料薄膜等易漂浮物隐患的重视及清理力度仍需加强。对沿线群众', '下发《关于做好输电线路通道树木、反光膜等漂浮物及杆塔鸟巢清理工作的通知》', '全面开展线路通道内隐患排查整治', '对线路通道内隐患指定专人限期进行治理、整改3、做好线路沿线群众安全意识教育。进一步加大对塑料薄膜等易漂浮异物的回收治理力度5、严格输电线路通道属地化防护要求', '加强对通道防护工作的监督检查', '不定期通报检查结果'])",16-烟台-220千伏霞福线外力破坏故障分析报告-重合成功-外力破坏-异物短路-20160318
输电线路,绝缘子,绝缘子故障,"['发现#8左相前靠横担侧第一片瓷复合绝缘子有喷伤点', '左相前绝缘子串与塔身挂点处及左相引流线均有明显喷伤点；地面有明显鸟粪痕迹', '左相前靠横担侧第一片瓷复合绝缘子有喷伤点', '左相前绝缘子串与塔身挂点处及左相引流线均有明显喷伤点；以及左相线下鸟粪痕迹']","('需停电处理', 'C类修检', [])",16-青岛-220kV泽平Ⅰ线故障分析报告-重合成功-鸟害-20150323
输电线路,绝缘子,绝缘子故障,"['#62号杆塔附近导线处有较大的疑似爆炸响声初步判定#62号塔上相复合绝缘子处为故障点图4#62号塔上相复合绝缘子横担处挂点塔材放电点图5#62号塔上相复合绝缘子导线侧均压环及导线处鸟粪及放电点天气为微风', '此次跳闸的保护动作表现为金属接地性质#62塔A相复合绝缘子结构高度为4360mm', '一旦有鸟在横担位置排便或在杆塔附近活动就极有可能造成绝缘子串闪络事故的发生结合2016年新建线路投产验收', '巡视重点为杆塔绝缘子及档内导线08时30分', '发现#62塔有鹰等大型鸟类频繁活动经仔细排查发现#62号塔上相复合绝缘子、导线端均压环及导线上有大量鸟粪', '同时在上相复合绝缘子横担端挂点处塔材有疑似放电痕迹', '该风力不足以使导线悬垂绝缘子串发生风偏', '发现#62塔上相复合绝缘子、导线侧均压环、导线等部位均存在大量鸟粪']","('需停电处理', 'C类修检', ['鸟粪引起复合绝缘子表面闪络造成A相单相接地故障可能性较大经检查发现#62塔横担、绝缘子及导线上有大量鸟粪', '鸟巢类异物需及时清理鸟在输电线路杆塔上筑巢', '鸟在鸟巢附近活动频繁增加了鸟害事故发生几率由于鸟类活动的区域是一个比较固定的范围', '就可能在相隔几天后再次或多次发生防止鸟害闪络事故的措施主要有在鸟害多发区段线路及时安装防鸟装置'])",17-检修公司-500kV上嘉Ⅱ线03月21日鸟害故障分析报告-重合成功-鸟害-20160321
输电线路,nan,故障,"['事故多发于巡防""空档""期', '3月9日输电运检室正常巡视', '3月17日光明公司防护人员对线路通道进行了巡视', '按计划下次巡视日期是3月24日', '事件恰好发生在两次巡防的""空档""期间其中一支腿处地面曾放电起火', '，20时20分', '，巡视人员发现党红线#96-#97塔之间', '巡视人员发现党红线#96-#97塔之间', '线下及通道内有松树苗圃', '，导线有放电麻点', '，附近路边地面上有烧伤痕迹、路边土地表面有火烧痕迹', '附近路边地面上有烧伤痕迹、路边土地表面有火烧痕迹', '均为放电所致20时49分汇报泰安地调220kV党红线故障情况', '，不影响运行220kV党红线#88-#164泰安公司管辖线路长度24.787km', '不影响运行220kV党红线#88-#164泰安公司管辖线路长度24.787km', '#96塔型为ZT1-9', '#97塔型为ZT1-23.7', '导线对地距离21.7米', '导线距路边距离25米', '导线距吊车地点斜距33米', '线路1976年3月1日投运220kV党红线#96-#97线下松树苗圃', '，户主吴殿胜承包土地种植松树等绿化景观树', '户主吴殿胜承包土地种植松树等绿化景观树']","('需停电处理', 'B类修检', ['加强人员责任心教育', '做到早发现、早预防、早制止、早处理'])",17-泰安-220kV党红线故障分析报告-重合不成-外力破坏-吊车碰线-20150323
输电线路,nan,故障,"['昌溪1093线全线引流采用异径铝并沟线夹连接', '在红外测温过程中同时发现了2#、3#、13#、23#的异径铝并沟线夹均存在不同程度的发热现象', '21日在对23#耐张线夹检查过程中发现', '，由于发热导线外层铝股几乎全部熔断', '由于发热导线外层铝股几乎全部熔断', '']","('需停电处理', 'B类修检', ['经现场取样分析这种并沟线夹的缺陷在于握着力不足以及与导线接触面偏少', '由于安装时连接不够紧密再加上110kV昌溪1093线长期处于高负荷运行状态', '及时、适时的全面开展红外测温工作。加强检修作业的质量监督工作'])",17-浙江-红外测温发现昌溪1093线引流线并沟夹热缺陷
输电线路,导线,导线故障,"['其曾目睹该果园内的反光膜被刮到导线上', '#1-#20小号侧导线为2×JL/LB20A-400/35双分裂导线', '#20大号侧-#181为LGJ-400/50单导线全线均采用防鸟型合成绝缘子故障点220千伏昆车线#82杆（该杆为1999年投运的原威车线']","('需停电处理', 'A类修检', ['挂落在导线上对爬梯固定抱箍放电引发线路跳闸此次事故暴露出', '输电运检室在通道防护和异物清理上', '这是事故发生的重要原因。将输电线路通道内易飘浮物治理作为今后线路日常运行维护工作的重点', '结合线路定期巡视做好排查', '将果园、工地、厂房等地段存在的彩带、反光膜等较长飘浮物列入排查范围', '制订合理的清理计划', '结合2015年大修工作', '对半掩埋在地中的反光膜进行剪短处理', '对散落在地面的反光膜进行收集处理等等措施'])",18-威海-220kV昆车线故障分析报告-重合成功-外力破坏-异物短路-20150327
